b_id,BusinessID,Name,City,State,Stars,Latitude,Longitude
74,QIJa5h2d65Bgh82zct7c7A,Frank & Shirley's Restaurant,Pittsburgh,PA,4,40.3886503,-79.9965975
75,PTkChuI3GPCw-ZL1Iph76A,DiCarlo's Original Pizza,Pittsburgh,PA,4,40.3922377,-79.997446
76,BbIh5NTizhV4Fq_mLmNkpg,Long John Silver's,Pittsburgh,PA,1.5,40.38712,-79.9822267
77,Ga0y-XHa4os_VvoHz21bfQ,Anthony's Pizza,Pittsburgh,PA,3,40.396531,-79.987919
78,xMZM_vyCraM9BZUn4yrj5Q,KFC,Pittsburgh,PA,3.5,40.4052,-79.9911
79,IxQ1ATP_Wg_QujO9nywzcQ,Max's Allegheny Tavern,Pittsburgh,PA,4,40.4551576,-79.999728
80,TyIsuojeKcTb4Acfg7xqew,China Taste,Pittsburgh,PA,4,40.4541341,-79.9981189
81,oj8bMz76cKXQClpFTFNW9w,North Shore Deli,Pittsburgh,PA,4.5,40.4535473,-79.9992608
82,k1A8pNspBPinGDivxkuDSA,Clark Bar & Grill,Pittsburgh,PA,3.5,40.4489884,-80.0088714
83,#NAME?,Pasta Too,Pittsburgh,PA,4,40.455833,-80.006512
84,e5DtayybW4jbKcDBwEUmOQ,Mullin's Diner,Pittsburgh,PA,3.5,40.452646,-79.993788
85,CqHTknOJHZZncWzGtpbNsA,Ron's Pizza Palace,Pittsburgh,PA,3,40.4620001,-79.9838764
86,OjzR6hUYasFReo0vhVn0-w,Teutonia Mannerchor,Pittsburgh,PA,4.5,40.455167,-79.994957
87,6AnorAMPkTdSDbUkOoV1Rw,Billy's Troy Hill Bistro,Pittsburgh,PA,3,40.4645128,-79.9823112
88,49nxzKLr2qQnLF58qo2p1w,Heinz USA,Pittsburgh,PA,5,40.4550779,-79.9913252
89,rEKBr81s19Soh3dYj4bcGQ,Pizza Hut,Pittsburgh,PA,2,40.4563367,-80.0071993
90,q_BKmbdlYfQJroJVHfYMUQ,Legends of The North Shore,Pittsburgh,PA,4,40.4566092,-80.0015054
91,99WYCuBEsO7OUCDWbbrrew,Subway,Pittsburgh,PA,2.5,40.4500892,-80.0181629
92,vMCCvnDU-Iz_D_pmbcMqzA,Peanutz,Pittsburgh,PA,2.5,40.4534897,-80.0012207
93,hUV4bjXE8Ijd-pDNr8S6mA,Steves New York Hotdog Shop,Pittsburgh,PA,4.5,40.455929,-80.0065429
94,Od9niVya8G5BD3a1l2ss-g,Lillen's Restaurant,Pittsburgh,PA,3.5,40.4534482,-79.9993379
95,Z101WZaISochG6g7tI2ZVw,Atria's Restaurant,Pittsburgh,PA,3,40.4480678,-80.0042395
96,Eixtf79t1_ZKaC-7J2kAWg,Pickles Pizza & Sandwich Emporium,Pittsburgh,PA,3,40.4535915,-80.0008071
97,Z0OGW8PysysRXE0dR7QxQQ,Wilson's Bar-B-Q,Pittsburgh,PA,4,40.4562032,-80.0144357
98,I9-Ei8_KYtMjbixNJSCvwA,The Isaly Company,Pittsburgh,PA,3.5,40.4534946,-79.9993338
99,yfuoL_w76WFVHcGJbw0IIg,Nick's Place,Pittsburgh,PA,3.5,40.484693,-80.0355244
100,2cupks8QYzFpMYDiysGOug,Don's Diner,Pittsburgh,PA,5,40.4716476,-80.037313
101,AAcw9y30cRuMo0oa8UBiIw,Wiseguys Pizza,Pittsburgh,PA,3,40.4763098,-80.0311303
102,YUZVBdGmagwXV-yOhR-1GQ,Miller's Seafood House,Pittsburgh,PA,3,40.4851129,-80.0416964
103,OIL-eZX8d10jgWPLW-E7zA,Chubby's Pizza & Hoagies Northside,Pittsburgh,PA,2.5,40.4810675,-80.0413982
104,PSlOtPIo28BvWOzdLmRRRQ,Knossos Gyros & Sis-Kabob,Pittsburgh,PA,3.5,40.3959965,-80.0350383
105,wan0X-oHpLgGTPXqaICZCw,Huddle,Pittsburgh,PA,4,40.409125,-80.024957
106,QnyzlVMyx0Exri-Lay10cA,Sushi Three,Pittsburgh,PA,3.5,40.3885913,-80.0493988
107,81sqVj0xHyJXGYT0ip5fmQ,Green Garden,Pittsburgh,PA,2.5,40.38892,-80.049921
108,93UCt9OgWYmypZCpXtUu8g,Beto's Pizza,Pittsburgh,PA,4,40.4127159,-80.0303499
109,za5fND9-pXyVSk5rM28MsQ,Slapshots,Pittsburgh,PA,2,40.3930433,-80.0366408
110,ORTRrw3ClZ0Ld0LgY1H_5g,Eat'n Park Restaurant,Pittsburgh,PA,3.5,40.3957953,-80.0335782
111,9aw0t0rlACKkMaxsX0KlKA,Dairy Queen,Pittsburgh,PA,3.5,40.3959782,-80.0464983
112,5Udv4CASAXB2eH66TefWPQ,Cain's Saloon,Pittsburgh,PA,3.5,40.3897336,-80.0409102
113,2Igiyhi82R8_QaaPplRmCw,The Dor-Stop Restaurant,Pittsburgh,PA,4.5,40.396012,-80.034727
114,Cex2R008tMFg8R5fAtf77w,Campiti's Don Pizzeria,Pittsburgh,PA,4,40.3966306,-80.0357966
115,n7G2XFGvmS3duDJ4AzjKiQ,Namaste India,Pittsburgh,PA,3,40.420335,-80.030114
116,8tBfgYCI6Fz9xrSYCYCYXA,Maharaja Restaurant,Pittsburgh,PA,3.5,40.420335,-80.030114
117,Tb7hQ37UFA2QFaMwjFieQw,Arby's,Pittsburgh,PA,2,40.414716,-80.03063
118,qemCNgjeYGcFsRwxW9x4xw,Bado's Pizza Grill and Ale House,Pittsburgh,PA,3.5,40.3886105,-80.0499034
119,iudRNo5Q8W7firUBYJEqQQ,Little Nipper's Pizza,Pittsburgh,PA,2.5,40.388527,-80.0495449
120,2X5G4Ujq0s4Wfn4TC7gX0g,D's Six Pax & Dogz,Pittsburgh,PA,4.5,40.432022,-79.893834
121,XQ7elqSFIRogvqpiTZz-Wg,Dunning's Grill,Pittsburgh,PA,3,40.432599,-79.894243
122,JL5B_s1EoN4zIru4JSw4Qg,Taco Bell,Pittsburgh,PA,3.5,40.427135,-79.890649
123,IafkUjO5CiXAu9LfB4_Sgg,Rudy Martino Original House of Submarines,Pittsburgh,PA,5,40.421259,-79.890285
124,OS1fGOcx_Erie5gujWIFNQ,China House II,Swissvale,PA,3,40.422307,-79.8893217
125,DzOPHyrG2XuVqKEvHCnN7w,Triangle Bar & Grill,Pittsburgh,PA,4.5,40.4175696,-79.8879525
126,nqRNOug4OMrYTTZg-qLxXA,Veltre's Pizza,Pittsburgh,PA,4.5,40.421054,-79.8862296
127,K8Ebs8G1rwc3DBdznHvDxg,Wendy's,Pittsburgh,PA,2.5,40.42523807,-79.88836233
128,h3la53L9-OX_HlfeAySh0Q,Applebee's,Pittsburgh,PA,2.5,40.4273028,-79.8886844
129,1vQLTKwmcmZXtNzfKEvMmA,Benihana,Pittsburgh,PA,3,40.392287,-80.070269
130,hhNlQWaKqGbMPoeZHoL-IQ,Mad Mex - South Hills,Pittsburgh,PA,3.5,40.3906976,-80.070806
131,GEw1pLdbMlJecvQkKBIgSw,Pizza Hut,Pittsburgh,PA,3,40.3954394,-80.0657414
132,SgQYRICpMdWCmY7wM2Cmcw,Max & Erma's,Pittsburgh,PA,3,40.3932957,-80.0656653
133,m0QsJDntW1MrWCxBVFwuAg,Wendy's,Pittsburgh,PA,1.5,40.392802,-80.062098
134,uwiD9jxs09xxXG0by_xKuA,Bruegger's Bagels,Pittsburgh,PA,3,40.3925119,-80.0615815
135,mrbfnIXD5U4pMxuZgKedOw,Sichuan House Chinese Restaurant,Pittsburgh,PA,3.5,40.3923379,-80.0662223
136,sNmQJQWEVGheCnw5Tf4Phg,Panera Bread,Pittsburgh,PA,3.5,40.395932,-80.067397
137,jrSGpWnVJy8jqgN6XSC7Nw,Aracri's Greentree Inn,Pittsburgh,PA,3.5,40.4168413,-80.0454066
138,EtnMSBRlMQWrdTla-jz9RA,Tramp's Restaurant,Pittsburgh,PA,3.5,40.4356718,-80.0340934
139,KZXtzoI84iI1CEcAnD7OPA,Vincent's of Greentree,Pittsburgh,PA,3.5,40.42104204,-80.05010696
140,zpNGtjBlIkDq_PLGSCPlAg,Olive Garden Italian Restaurant,Pittsburgh,PA,3.5,40.4198341,-80.0456525
141,ZS7-I04iDm4oRP_GJsJqrA,Boston Market,Pittsburgh,PA,3.5,40.418092,-80.0460082
142,FtjvnLhh51ZBYEpKAARaFQ,Soho,Pittsburgh,PA,3,40.4483207,-80.0043186
143,z4cCguoHdU48pj6sXMIzqg,Original Fish Market,Pittsburgh,PA,2.5,40.4441681,-79.994852
144,sbTF0cLKZH6_BP8BLARVDg,Bossa Nova,Pittsburgh,PA,2.5,40.4439388,-80.0006057
145,OxIeMVcop5oxBUWANi-1Rw,Olive or Twist,Pittsburgh,PA,3.5,40.4429033,-80.0025614
146,imzKM9-mgN1Yk_RIXx3IgA,Sunseri Jimmy & Nino,Pittsburgh,PA,4,40.450964,-79.984628
147,IEHaU93HpEbdUO4z4bKzDw,Jo Jo's Restaurant,Pittsburgh,PA,3.5,40.4540368,-79.9814643
148,NeUf9FyCCIN4MEseNyqkXQ,Primanti Bros.,Pittsburgh,PA,3.5,40.440287,-80.002585
149,JcP-IIrZkW_Yyv4a0yLRCw,Monte Cello's Downtown,Pittsburgh,PA,3,40.4077836,-80.0930463
150,4LcFKTr6Ah87VcxW2z5e6w,McDonald's,Pittsburgh,PA,2,40.4422917,-79.9989455
151,buVALudg30kgkDusqB3yJw,Reyna Foods,Pittsburgh,PA,4,40.4514856,-79.9834035
152,wHi8ODv7TGmeUB02XoX-mA,Roland's Seafood Grill,Pittsburgh,PA,2.5,40.4505899,-79.9842832
153,WXpi9z1bqF9raZSW8z70Ow,Salonika Gyros,Pittsburgh,PA,3.5,40.4432077,-80.0021285
154,j7kgLc4Uys_sb-H7_Velcg,Brown Bag Delis,Pittsburgh,PA,2,40.4442087,-79.9946687
155,DhDNNHZtaBxYNSqJz64ixg,La Gondola Pizzeria & Restaurant,Pittsburgh,PA,4.5,40.4400655,-80.0025144
156,PxP19Rb88OQKiSMl2oWNsg,Christos Mediterranean Grille,Pittsburgh,PA,3,40.44324667,-80.00225442
157,9mwShpTgZofOujt4JfyGmw,Spaghetti Warehouse,Pittsburgh,PA,2.5,40.455916,-79.979271
158,90Fqfzd8zD9AuuNBSv9lAg,Morton's The Steakhouse,Pittsburgh,PA,4,40.44238283,-80.00087231
159,pfS0Bd-sXZyMNr73kJPeaw,Gateway Center Cafeteria,Pittsburgh,PA,4,40.442222,-80.0044807
160,KEzIorUdFjqCuxbRxKPghA,Mamma Lucia Pizza,Pittsburgh,PA,4,40.4403955,-80.0010018
161,pvGT62T6Ci1LKOS9DL42pg,Peppi's,Pittsburgh,PA,4,40.436969,-80.0004543
162,OT3yVpDrDVITDCIYox8d9A,Buon Giorno Cafe,Pittsburgh,PA,3.5,40.43866,-80.005135
163,8AskFIgGxqNb8RbcDCAfmA,Madonna's Restaurant,Pittsburgh,PA,4,40.43959024,-79.9992013
164,A2XkbJ07hrR80t0EFgLikQ,Smithfield Cafe,Pittsburgh,PA,3.5,40.442558,-79.997214
165,L5387MoRyx9orlRyYfCSPA,Andy's Sushi Bar,Pittsburgh,PA,4,40.450111,-79.9858749
166,dHDi4wCcjsOR6vcZ8oOIoA,Sushi Kim Restaurant,Pittsburgh,PA,3,40.4464777,-79.9916741
167,41CXLCeB8z2oNdIOvnrzIA,Redfin Blues,Pittsburgh,PA,2.5,40.4634021,-79.9776298
168,OhwF2JDqlYMZl5Rp3WRBog,Arby's,Pittsburgh,PA,1.5,40.4421708,-79.9990003
169,l2gPB9mqiHSbpwSUa7zrjg,F. Tambellini Ristorante,Pittsburgh,PA,2,40.443577,-80.000162
170,gfpl_GyyY5uj6zJnIdzImQ,Caffe Amante,Pittsburgh,PA,3.5,40.442228,-80.003107
171,l-OmDgEd4QkZpyXVpkp2yA,Villa Reale Pizzeria & Restaurant,Pittsburgh,PA,3,40.4421419,-79.996955
172,0FgwBx7pgmNdUtsd_T8UYQ,Ruths Chris Steak House,Pittsburgh,PA,4,40.4394267,-80.0038037
173,SzHTdZR3yY1WBYUxkVxmUQ,Papa J's Centro,Pittsburgh,PA,3,40.4389116,-80.0032374
174,xgcZN3F2f9LxLASQK_xzhw,Smallman Street Deli,Pittsburgh,PA,4,40.4582377,-79.97509
175,_aGVicux2dJm9sqzLSCJtg,Subway,Pittsburgh,PA,3.5,40.4427514,-79.9997098
176,uUorjstNslr3gkIsVGtQAg,Max & Erma's Restaurants,Pittsburgh,PA,3,40.4431765,-80.0042813
177,GSiHJG8LqTn5ZQAY1r9q9w,Liang's Hunan Restaurant,Pittsburgh,PA,1.5,40.4434132,-79.9961509
178,0Lsd35rHY6UtPFHjjxJ1LA,1902 Tavern,Pittsburgh,PA,2.5,40.441207,-80.0031108
179,Bza-l75OiKcMRmTYILpyfQ,Wiener World,Pittsburgh,PA,3.5,40.44223445,-79.99713541
180,#NAME?,Sammy's Famous Corned Beef,Pittsburgh,PA,2.5,40.439202,-79.9989485
181,1E53rS8afK2jiLod8Jwy7A,Fu Lai Chinese Restaurant,Pittsburgh,PA,2.5,40.4428479,-80.0031124
182,j0uzPYXgu-hmkvuGnj-B1w,Mark's Grille & Catering,Pittsburgh,PA,3.5,40.444221,-79.997341
183,AH1PrZQDIdjpKgy1z8XxUg,Zorba's Gyros,Pittsburgh,PA,3.5,40.4387143,-79.9994904
184,XmdTkxKyJd7TuDLoiic1kg,Lidia's,Pittsburgh,PA,3.5,40.4484631,-79.9894086
185,HDTv_rnmSL8AQ04_zTWARA,Sports Rock Cafe,Pittsburgh,PA,2,40.4484631,-79.9894086
186,nBl_NeArpL08MpoghDiA_A,Ephesus Mediterranean Kitchen,Pittsburgh,PA,3.5,40.43983911,-80.00288626
187,J011r7mUV1QhgLJ7GkrtMw,Peppi's,Pittsburgh,PA,4,40.450237,-79.985665
188,#NAME?,Original Oyster House,Pittsburgh,PA,3,40.4410134,-80.0019815
189,SvoJ3Y3uqDfB4iGUaWXh8Q,Pizza Parma,Pittsburgh,PA,3,40.44389,-79.9985899
190,6xEl2PDJulIp1PfWqa7-aA,Mullaneys Harp and Fiddle,Pittsburgh,PA,3.5,40.4534271,-79.9809286
191,GQloL8yRHymE0SGZq-B0zQ,My Ngoc Restaurant,Pittsburgh,PA,3,40.4519288,-79.9824216
192,Lm_mR5xDF91OeZw97ch41g,The Lemon Grass Cafe,Pittsburgh,PA,2.5,40.4432622,-80.0026232
193,aj4XHn7jZ48euP4g8ape-Q,San Remo Pizza,Pittsburgh,PA,3.5,40.4380683,-80.0043039
194,#NAME?,Casa Del Sole Pizza,Aspinwall,PA,3.5,40.4905179,-79.9040162
195,9dRhseYpES0LO0iNDLHtrg,Calabria's Italian Restaurant,Pittsburgh,PA,2.5,40.4654547,-79.9447111
196,KnlNwiIELDWAR686Bk2WJg,China House,Pittsburgh,PA,4,40.462831,-79.9516804
197,XzaJf6WzpU7RsXTXzx72Xg,Cafe Sam,Pittsburgh,PA,4,40.456227,-79.940241
198,PTS4MxQel-xzj5qWxVn3LQ,Angelo's Pizzeria,Pittsburgh,PA,3.5,40.4608026,-79.9479065
199,IvgKdlte_JNdd17XRxkOrg,Graziano's Pizzeria,Pittsburgh,PA,3.5,40.4659283,-79.9548907
200,bDK_jzy3Shx7jfn8_plNoA,Pizza Italia,Pittsburgh,PA,4,40.4626986,-79.9515229
201,PhIGoo9g6GBrqgH_6yZXXQ,People's Indian Restaurant,Pittsburgh,PA,4,40.464942,-79.9412135
202,uBW3PIKqc-_eyG1_vdJn1w,Pho Minh,Pittsburgh,PA,4,40.4653958,-79.9445114
203,DsxLIr-b6WlDn9YNsVBu_A,Groceria Italiana,Pittsburgh,PA,4.5,40.4618603,-79.948546
204,FD6OocZdFUfE2J5H0WN4fA,Armand's Bar,Pittsburgh,PA,3.5,40.4614622,-79.9481741
205,LN3OCT1xOedbf65xKzFSNw,Taste of India,Pittsburgh,PA,4,40.4657149,-79.953504
206,tQpYnf3P3Q_OQLYYJvlV-A,Nico's Recovery Room,Pittsburgh,PA,3.5,40.4636708,-79.948991
207,KH6stvNdq_aV0HvKw8P5yA,Donatelli's Italian Food Center,Pittsburgh,PA,3.5,40.4620697,-79.9493553
208,nUISXnW2Jo9ovnoFBIUY_Q,D'Amico's,Pittsburgh,PA,2.5,40.4611146,-79.9485427
209,dxCqGkhtXq-9fYEsX7Mf6Q,Tram's Kitchen,Pittsburgh,PA,4,40.4653491,-79.955948
210,#NAME?,Ritters Diner,Pittsburgh,PA,3.5,40.456385,-79.9412291
211,YTqSkgOiiI9HG3hNH7ovfg,Lombardozzi's Restaurant,Pittsburgh,PA,3.5,40.4606393,-79.9471799
212,vgXE1I7c9ElcfYyZfQiN1Q,Tessaro's,Pittsburgh,PA,4,40.4627572,-79.9506735
213,#NAME?,Pleasure Bar and Restaurant,Pittsburgh,PA,3,40.461739,-79.9486639
214,3zgswf_NfBJpeAoWeTkgMA,Silky's Pub,Pittsburgh,PA,4,40.458267,-79.942274
215,uOwuJJhGaiAzuaDY7-o14g,Boston Market,Pittsburgh,PA,3.5,40.4555475,-79.9415246
216,7XXmky6YYjsvKFwho_eavg,Lot 17,Pittsburgh,PA,4,40.4625543,-79.950173
217,o_wRqOpli9kyZGXlJtLLdA,The Bloomfield Sandwich Shop,Pittsburgh,PA,4,40.462632,-79.950246
218,5MChfa-jZfMo3vBpolkSbw,Alexander's Italian Bistro,Pittsburgh,PA,3.5,40.458394,-79.9436629
219,YDCxBTJmF-lLCk1Qx8vDfg,Sammy's Famous Corned Beef,Pittsburgh,PA,3,40.4655702,-79.9557489
220,sxeuOMBRllOHXJTaUlI9kQ,Thai Cuisine,Pittsburgh,PA,4,40.46254961,-79.94976007
221,ptmsW2SSeFD2I6vspJs0lQ,The Getaway Caf̩,Pittsburgh,PA,3,40.384633,-80.015649
222,r8jeeS3k_diihMDSu9IjlA,Fiori's Pizzaria,Pittsburgh,PA,4.5,40.405245,-80.018538
223,cH8I7JgPXcrcutT1a3YrjQ,It's Greek To Me,Pittsburgh,PA,4.5,40.3919796,-80.0173011
224,dQjaHoo89bLymdMm4S5_1g,Moonlite Cafe,Pittsburgh,PA,4.5,40.3955323,-80.0228158
225,gCiKiqPGAC_ZVt5bBcwnrw,Pitaland,Pittsburgh,PA,4.5,40.3948658,-80.0220857
226,UjJMQguryo1jypomvOCZgg,Bellisario's Pizza Palace,Pittsburgh,PA,3.5,40.3830261,-80.0153449
227,dpRsK3JyaD3GKorVWzQUmA,Wendy's,Pittsburgh,PA,3,40.4002649,-80.0241505
228,aIzx9R8MN9VgSSJt1jy5TA,Carhops Sub Shop,Pittsburgh,PA,4.5,40.399184,-80.025491
229,TOgeI2IprhkMQVpcr-0tyg,Fox's Pizza Den - Brookline,Brookline,PA,4,40.39282458,-80.01905233
230,vWnwaD-kykqiEc2Q0hbYsw,McDonald's,Pittsburgh,PA,2,40.3988343,-80.026459
231,PscxgmrteHI-6qdI-vIm5g,Boulevard Lounge,Pittsburgh,PA,4.5,40.3919676,-80.0139729
232,T4D7wX6GuCYChwRmser-0A,The Tong Garden,Pittsburgh,PA,4,40.391756,-80.017768
