,b_id,Category1,Category2,Category3,Category4,Category5,Category6,Category7
259,15963,10,15,0,0,0,0,0
260,8525,2,1,0,0,0,0,0
261,3013,8,0,0,0,0,0,0
262,15854,9,3,41,1,0,0,0
263,15223,2,0,0,0,0,0,0
264,1700,9,13,0,0,0,0,0
265,5720,11,0,0,0,0,0,0
266,23727,9,3,10,20,5,1,27
267,6218,22,8,40,0,0,0,0
268,5418,1,0,0,0,0,0,0
269,9557,25,0,0,0,0,0,0
270,16998,3,1,17,0,0,0,0
271,7846,3,1,17,19,0,0,0
272,6026,3,10,43,5,1,35,0
273,7445,10,0,0,0,0,0,0
274,25379,11,0,0,0,0,0,0
275,4316,2,0,0,0,0,0,0
276,15582,26,0,0,0,0,0,0
277,13190,1,0,0,0,0,0,0
278,8596,12,13,0,0,0,0,0
279,12170,7,0,0,0,0,0,0
280,19931,3,45,1,0,0,0,0
281,5912,9,3,7,1,35,0,0
282,5667,14,0,0,0,0,0,0
283,17649,10,20,5,0,0,0,0
284,3881,2,0,0,0,0,0,0
285,5628,29,0,0,0,0,0,0
286,11409,32,11,5,4,0,0,0
287,7037,10,5,4,0,0,0,0
288,11547,24,0,0,0,0,0,0
289,25600,18,0,0,0,0,0,0
290,11885,10,0,0,0,0,0,0
291,19284,8,13,0,0,0,0,0
292,17311,5,4,44,0,0,0,0
293,5763,18,0,0,0,0,0,0
294,19769,2,0,0,0,0,0,0
295,800,3,1,4,0,0,0,0
296,17515,18,6,0,0,0,0,0
297,7366,3,1,27,0,0,0,0
298,6965,4,0,0,0,0,0,0
299,2400,2,15,0,0,0,0,0
300,16514,3,0,0,0,0,0,0
301,14889,13,0,0,0,0,0,0
302,17480,8,0,0,0,0,0,0
303,7884,23,0,0,0,0,0,0
304,18082,3,1,27,0,0,0,0
305,5070,7,0,0,0,0,0,0
306,11736,13,0,0,0,0,0,0
307,19573,23,0,0,0,0,0,0
308,15773,22,12,0,0,0,0,0
309,17656,9,0,0,0,0,0,0
310,21423,26,34,0,0,0,0,0
311,21925,21,0,0,0,0,0,0
312,23744,7,0,0,0,0,0,0
313,20538,3,0,0,0,0,0,0
314,2587,2,0,0,0,0,0,0
315,5865,9,0,0,0,0,0,0
316,19580,9,0,0,0,0,0,0
317,12548,7,0,0,0,0,0,0
318,21854,11,0,0,0,0,0,0
319,23709,2,0,0,0,0,0,0
320,18995,26,0,0,0,0,0,0
321,8278,12,13,0,0,0,0,0
322,8178,22,0,0,0,0,0,0
323,11302,28,34,31,0,0,0,0
324,17462,9,3,1,17,0,0,0
325,8086,10,30,0,0,0,0,0
326,23514,18,0,0,0,0,0,0
327,7318,4,0,0,0,0,0,0
328,3828,8,0,0,0,0,0,0
329,3799,28,21,4,0,0,0,0
330,17203,42,34,0,0,0,0,0
331,16170,11,43,5,44,0,0,0
332,8024,6,5,1,0,0,0,0
333,12701,20,5,4,0,0,0,0
334,13446,18,23,0,0,0,0,0
335,172,19,0,0,0,0,0,0
336,18411,9,10,0,0,0,0,0
337,15752,22,29,8,0,0,0,0
338,19685,16,4,0,0,0,0,0
339,1196,7,0,0,0,0,0,0
340,12554,2,0,0,0,0,0,0
341,8899,34,0,0,0,0,0,0
342,13481,9,3,1,0,0,0,0
343,2951,7,0,0,0,0,0,0
344,18537,9,10,11,0,0,0,0
345,1983,23,0,0,0,0,0,0
346,6954,3,1,17,0,0,0,0
347,17548,4,0,0,0,0,0,0
348,8451,26,23,0,0,0,0,0
349,12055,12,13,0,0,0,0,0
350,5685,1,0,0,0,0,0,0
351,3009,4,0,0,0,0,0,0
352,6079,29,0,0,0,0,0,0
353,23871,6,0,0,0,0,0,0
354,2325,3,6,1,17,0,0,0
355,7313,3,1,17,0,0,0,0
356,2564,2,0,0,0,0,0,0
357,12464,22,12,13,0,0,0,0
358,10150,5,0,0,0,0,0,0
359,24453,10,30,0,0,0,0,0
360,973,2,0,0,0,0,0,0
361,7736,10,16,5,0,0,0,0
362,7576,9,0,0,0,0,0,0
363,11597,3,2,1,33,0,0,0
364,753,18,0,0,0,0,0,0
365,1374,10,0,0,0,0,0,0
366,17478,24,4,0,0,0,0,0
367,811,23,0,0,0,0,0,0
368,11551,10,25,0,0,0,0,0
369,2642,10,0,0,0,0,0,0
370,3672,9,0,0,0,0,0,0
371,23447,8,0,0,0,0,0,0
372,12095,7,0,0,0,0,0,0
373,4540,6,0,0,0,0,0,0
374,19490,2,0,0,0,0,0,0
375,8449,9,15,0,0,0,0,0
376,10366,13,0,0,0,0,0,0
377,24656,9,24,4,0,0,0,0
378,17491,10,30,0,0,0,0,0
379,13819,4,0,0,0,0,0,0
380,18340,7,0,0,0,0,0,0
381,6562,2,0,0,0,0,0,0
382,5465,3,1,27,17,0,0,0
383,1720,3,1,19,35,0,0,0
384,22938,3,7,1,0,0,0,0
385,13012,7,0,0,0,0,0,0
386,7724,3,1,0,0,0,0,0
387,3520,21,0,0,0,0,0,0
388,8730,9,6,7,0,0,0,0
389,14506,12,0,0,0,0,0,0
390,18903,2,0,0,0,0,0,0
391,7842,9,3,41,1,0,0,0
392,5729,8,13,0,0,0,0,0
393,2163,13,0,0,0,0,0,0
394,22226,9,0,0,0,0,0,0
395,7076,10,20,5,0,0,0,0
396,19632,11,24,4,0,0,0,0
397,8132,5,38,0,0,0,0,0
398,17190,10,11,43,5,0,0,0
399,12970,43,5,24,0,0,0,0
400,3447,7,0,0,0,0,0,0
401,6789,6,0,0,0,0,0,0
402,11681,3,0,0,0,0,0,0
403,18541,6,0,0,0,0,0,0
404,15523,19,0,0,0,0,0,0
405,1973,15,0,0,0,0,0,0
406,10588,29,0,0,0,0,0,0
407,4530,23,0,0,0,0,0,0
408,3273,12,19,13,0,0,0,0
409,12209,25,40,0,0,0,0,0
410,18835,22,13,0,0,0,0,0
411,2360,8,0,0,0,0,0,0
412,1530,19,0,0,0,0,0,0
413,1335,12,15,13,0,0,0,0
414,7579,12,38,13,0,0,0,0
415,21937,31,0,0,0,0,0,0
416,3491,10,11,24,0,0,0,0
417,8543,3,12,41,1,13,0,0
418,23122,6,0,0,0,0,0,0
419,15463,37,0,0,0,0,0,0
420,7048,10,0,0,0,0,0,0
421,19522,39,0,0,0,0,0,0
422,22527,15,0,0,0,0,0,0
423,12587,10,0,0,0,0,0,0
424,16204,9,0,0,0,0,0,0
425,7663,10,30,0,0,0,0,0
426,17255,4,0,0,0,0,0,0
427,11247,19,0,0,0,0,0,0
428,24647,3,1,0,0,0,0,0
429,24166,29,26,0,0,0,0,0
430,13812,3,0,0,0,0,0,0
431,22610,9,6,0,0,0,0,0
432,14326,12,0,0,0,0,0,0
433,15913,16,4,0,0,0,0,0
434,4429,10,0,0,0,0,0,0
435,22125,15,0,0,0,0,0,0
436,6464,10,4,0,0,0,0,0
437,7334,6,0,0,0,0,0,0
438,8491,2,0,0,0,0,0,0
439,16099,5,0,0,0,0,0,0
440,876,3,0,0,0,0,0,0
441,5827,20,5,4,0,0,0,0
442,7314,4,0,0,0,0,0,0
443,22494,7,0,0,0,0,0,0
444,7101,21,36,0,0,0,0,0
445,3087,15,0,0,0,0,0,0
446,3122,19,0,0,0,0,0,0
447,11792,18,14,0,0,0,0,0
448,12430,2,0,0,0,0,0,0
449,8726,7,24,0,0,0,0,0
450,21761,32,5,0,0,0,0,0
451,11587,9,3,1,17,0,0,0
452,1320,3,2,1,0,0,0,0
453,10549,4,0,0,0,0,0,0
454,12304,12,13,0,0,0,0,0
455,11606,23,0,0,0,0,0,0
456,12732,23,0,0,0,0,0,0
457,8681,31,0,0,0,0,0,0
458,12529,6,0,0,0,0,0,0
459,980,19,0,0,0,0,0,0
460,3820,18,19,0,0,0,0,0
461,4983,7,0,0,0,0,0,0
462,11987,25,0,0,0,0,0,0
463,7799,4,0,0,0,0,0,0
464,8144,3,1,27,0,0,0,0
465,4586,10,0,0,0,0,0,0
466,6202,6,0,0,0,0,0,0
467,14413,1,0,0,0,0,0,0
468,8410,19,0,0,0,0,0,0
469,2732,7,0,0,0,0,0,0
470,11802,2,0,0,0,0,0,0
471,11907,25,0,0,0,0,0,0
472,1655,9,21,34,0,0,0,0
473,13080,3,1,17,0,0,0,0
474,6554,16,4,0,0,0,0,0
475,7964,15,0,0,0,0,0,0
476,2275,9,22,3,1,0,0,0
477,8118,10,30,0,0,0,0,0
478,15159,18,0,0,0,0,0,0
479,7960,23,0,0,0,0,0,0
480,15845,7,0,0,0,0,0,0
481,453,15,19,0,0,0,0,0
482,19979,4,0,0,0,0,0,0
483,15587,16,4,0,0,0,0,0
484,13284,9,0,0,0,0,0,0
485,3663,31,0,0,0,0,0,0
486,667,6,0,0,0,0,0,0
487,8518,9,25,15,0,0,0,0
488,7523,23,0,0,0,0,0,0
489,21820,21,0,0,0,0,0,0
490,18383,9,0,0,0,0,0,0
491,6106,3,0,0,0,0,0,0
492,8661,22,0,0,0,0,0,0
493,19494,11,0,0,0,0,0,0
494,5424,3,0,0,0,0,0,0
495,20273,31,0,0,0,0,0,0
496,3005,9,3,1,27,0,0,0
497,22791,18,0,0,0,0,0,0
498,2521,18,8,0,0,0,0,0
499,4666,25,0,0,0,0,0,0
500,4055,11,0,0,0,0,0,0
501,21470,8,23,34,0,0,0,0
502,10338,9,3,41,1,0,0,0
503,2798,8,0,0,0,0,0,0
504,11882,9,5,0,0,0,0,0
505,22156,2,0,0,0,0,0,0
506,22133,8,5,0,0,0,0,0
507,12241,2,0,0,0,0,0,0
508,22239,2,0,0,0,0,0,0
509,8300,7,0,0,0,0,0,0
510,5583,9,15,19,0,0,0,0
511,1268,2,0,0,0,0,0,0
512,5389,11,2,0,0,0,0,0
513,2711,29,0,0,0,0,0,0
514,7699,6,0,0,0,0,0,0
515,2259,7,0,0,0,0,0,0
516,3146,23,0,0,0,0,0,0
517,8163,2,0,0,0,0,0,0
518,1205,16,4,0,0,0,0,0
519,6108,8,0,0,0,0,0,0
520,22984,23,31,0,0,0,0,0
521,16550,8,0,0,0,0,0,0
522,553,12,13,0,0,0,0,0
523,7166,14,0,0,0,0,0,0
524,8479,7,0,0,0,0,0,0
525,6604,12,13,0,0,0,0,0
526,18499,26,0,0,0,0,0,0
527,9611,16,4,0,0,0,0,0
528,3597,7,0,0,0,0,0,0
529,25849,7,0,0,0,0,0,0
530,17511,22,3,29,1,0,0,0
531,816,3,6,1,0,0,0,0
532,21125,19,0,0,0,0,0,0
533,776,26,0,0,0,0,0,0
534,11673,2,0,0,0,0,0,0
535,3031,15,0,0,0,0,0,0
536,6163,6,4,0,0,0,0,0
537,13473,15,0,0,0,0,0,0
538,19350,10,0,0,0,0,0,0
539,11459,9,0,0,0,0,0,0
540,16961,9,0,0,0,0,0,0
541,8650,12,38,13,0,0,0,0
542,23538,15,0,0,0,0,0,0
543,1771,2,0,0,0,0,0,0
544,22050,21,0,0,0,0,0,0
545,2997,7,0,0,0,0,0,0
546,18813,10,20,5,0,0,0,0
547,129,12,13,0,0,0,0,0
548,3777,8,0,0,0,0,0,0
549,6003,19,0,0,0,0,0,0
550,2251,6,0,0,0,0,0,0
551,6667,28,0,0,0,0,0,0
552,16000,8,0,0,0,0,0,0
553,5157,10,0,0,0,0,0,0
554,1780,3,1,17,0,0,0,0
555,8203,32,5,36,0,0,0,0
556,5706,10,0,0,0,0,0,0
557,22462,6,5,0,0,0,0,0
558,6522,10,2,4,0,0,0,0
559,20822,3,0,0,0,0,0,0
560,7508,3,1,0,0,0,0,0
561,5032,2,0,0,0,0,0,0
562,308,5,0,0,0,0,0,0
563,7454,26,0,0,0,0,0,0
564,16425,6,0,0,0,0,0,0
565,20386,32,10,11,5,0,0,0
566,8590,12,0,0,0,0,0,0
567,24054,5,28,44,0,0,0,0
568,20862,29,0,0,0,0,0,0
569,4985,3,0,0,0,0,0,0
570,24430,5,40,0,0,0,0,0
571,12165,32,5,4,0,0,0,0
572,5694,8,0,0,0,0,0,0
573,3363,26,34,0,0,0,0,0
574,8427,2,0,0,0,0,0,0
575,3190,30,0,0,0,0,0,0
576,1035,9,0,0,0,0,0,0
577,11304,2,0,0,0,0,0,0
578,18022,29,26,0,0,0,0,0
579,19387,9,11,0,0,0,0,0
580,18755,6,0,0,0,0,0,0
581,21743,32,5,4,0,0,0,0
582,22822,9,5,0,0,0,0,0
583,14054,13,0,0,0,0,0,0
584,4327,7,4,0,0,0,0,0
585,20563,12,13,0,0,0,0,0
586,15890,8,0,0,0,0,0,0
587,5787,45,0,0,0,0,0,0
588,16206,7,0,0,0,0,0,0
589,7325,19,13,0,0,0,0,0
590,11928,19,0,0,0,0,0,0
591,22574,3,45,2,1,0,0,0
592,10263,23,0,0,0,0,0,0
593,16733,6,0,0,0,0,0,0
594,4531,3,1,27,15,0,0,0
595,4677,6,15,0,0,0,0,0
596,22405,3,10,1,27,0,0,0
597,4867,8,23,34,0,0,0,0
598,26052,6,5,4,0,0,0,0
599,5612,26,0,0,0,0,0,0
600,5896,2,0,0,0,0,0,0
601,11015,26,0,0,0,0,0,0
602,10491,14,0,0,0,0,0,0
603,7805,4,0,0,0,0,0,0
604,23556,11,12,0,0,0,0,0
605,20075,18,19,0,0,0,0,0
606,15809,6,0,0,0,0,0,0
607,12234,31,0,0,0,0,0,0
608,23904,10,16,4,0,0,0,0
609,17471,3,7,1,35,0,0,0
610,7755,28,21,0,0,0,0,0
611,6378,11,0,0,0,0,0,0
612,14505,3,1,27,0,0,0,0
613,20725,24,4,0,0,0,0,0
614,23835,9,10,30,0,0,0,0
615,23308,9,10,4,0,0,0,0
616,3788,2,0,0,0,0,0,0
617,854,1,0,0,0,0,0,0
618,113,10,30,0,0,0,0,0
619,24965,4,0,0,0,0,0,0
620,11345,10,0,0,0,0,0,0
621,4366,3,6,1,0,0,0,0
622,7574,10,30,0,0,0,0,0
623,7431,2,33,0,0,0,0,0
624,8069,2,0,0,0,0,0,0
625,16936,3,1,15,0,0,0,0
626,5110,28,21,36,0,0,0,0
627,19253,12,15,13,0,0,0,0
628,13411,45,0,0,0,0,0,0
629,9085,25,0,0,0,0,0,0
630,19488,40,0,0,0,0,0,0
631,22036,31,0,0,0,0,0,0
632,8382,31,0,0,0,0,0,0
633,7902,16,4,0,0,0,0,0
634,24945,6,0,0,0,0,0,0
635,7165,28,21,0,0,0,0,0
636,23932,26,0,0,0,0,0,0
637,20778,2,0,0,0,0,0,0
638,1574,10,0,0,0,0,0,0
639,6696,12,0,0,0,0,0,0
640,4571,2,0,0,0,0,0,0
641,21262,12,13,0,0,0,0,0
642,17564,19,0,0,0,0,0,0
643,8065,6,0,0,0,0,0,0
644,4355,9,22,10,0,0,0,0
645,13756,2,0,0,0,0,0,0
646,16567,3,7,1,35,0,0,0
647,21466,10,11,0,0,0,0,0
648,17222,29,0,0,0,0,0,0
649,18611,3,1,17,0,0,0,0
650,10625,3,10,1,27,0,0,0
651,3241,3,1,0,0,0,0,0
652,12602,15,0,0,0,0,0,0
653,19306,40,24,0,0,0,0,0
654,1018,43,5,0,0,0,0,0
655,14605,2,0,0,0,0,0,0
656,14127,3,41,1,0,0,0,0
657,6961,7,0,0,0,0,0,0
658,1252,11,30,0,0,0,0,0
659,21774,3,0,0,0,0,0,0
660,2476,1,0,0,0,0,0,0
661,12735,8,0,0,0,0,0,0
662,62,3,30,21,1,35,0,0
663,5502,7,0,0,0,0,0,0
664,3850,28,21,0,0,0,0,0
665,791,10,30,0,0,0,0,0
666,3341,2,0,0,0,0,0,0
667,914,8,0,0,0,0,0,0
668,11600,9,5,0,0,0,0,0
669,12928,6,0,0,0,0,0,0
670,10285,13,0,0,0,0,0,0
671,3511,9,3,1,0,0,0,0
672,16248,3,10,1,0,0,0,0
673,22381,15,0,0,0,0,0,0
674,20308,22,12,13,0,0,0,0
675,8534,28,21,0,0,0,0,0
676,10948,20,30,5,0,0,0,0
677,120,3,37,1,27,0,0,0
678,7514,6,0,0,0,0,0,0
679,18140,8,0,0,0,0,0,0
680,24948,18,0,0,0,0,0,0
681,17273,10,20,5,0,0,0,0
682,18475,19,0,0,0,0,0,0
683,3056,9,3,1,0,0,0,0
684,3547,11,20,5,0,0,0,0
685,20482,8,0,0,0,0,0,0
686,2351,10,30,0,0,0,0,0
687,19659,9,4,0,0,0,0,0
688,5349,2,0,0,0,0,0,0
689,4165,13,0,0,0,0,0,0
690,20694,30,36,0,0,0,0,0
691,19349,8,0,0,0,0,0,0
692,21670,32,10,20,5,0,0,0
693,15301,12,0,0,0,0,0,0
694,4680,2,33,0,0,0,0,0
695,12127,9,3,2,1,17,0,0
696,3345,26,0,0,0,0,0,0
697,5322,1,0,0,0,0,0,0
698,2803,31,0,0,0,0,0,0
699,5836,3,6,1,17,0,0,0
700,5653,18,0,0,0,0,0,0
701,19847,11,5,0,0,0,0,0
702,10498,32,10,5,4,0,0,0
703,10666,3,14,1,17,0,0,0
704,381,25,0,0,0,0,0,0
705,20071,9,3,10,1,0,0,0
706,15892,3,0,0,0,0,0,0
707,5812,2,0,0,0,0,0,0
708,1270,18,0,0,0,0,0,0
709,11422,19,0,0,0,0,0,0
710,12398,2,0,0,0,0,0,0
711,5049,15,0,0,0,0,0,0
712,13444,4,0,0,0,0,0,0
713,20973,32,10,5,0,0,0,0
714,9017,40,15,19,0,0,0,0
715,13278,3,1,0,0,0,0,0
716,14739,8,0,0,0,0,0,0
717,8897,39,25,0,0,0,0,0
718,5765,28,7,21,0,0,0,0
719,10422,11,20,5,0,0,0,0
720,956,3,7,1,15,35,0,0
721,11436,8,0,0,0,0,0,0
722,23746,3,1,0,0,0,0,0
723,14168,8,0,0,0,0,0,0
724,2801,12,13,0,0,0,0,0
725,1053,8,0,0,0,0,0,0
726,4814,22,8,31,0,0,0,0
727,17361,6,0,0,0,0,0,0
728,20706,2,0,0,0,0,0,0
729,10621,11,0,0,0,0,0,0
730,3434,10,0,0,0,0,0,0
731,7586,3,6,1,17,0,0,0
732,8101,9,0,0,0,0,0,0
733,1831,7,0,0,0,0,0,0
734,10627,25,0,0,0,0,0,0
735,16045,16,4,0,0,0,0,0
